                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4578,                  3.073,                 1.6152,                0.00229,                      1,                0.08818,                 0.0377,                0.84985,                 3.9413,                 1.2816,                 0.0973,                 0.0003,                 0.0003
                      1,                 1.5025,                 3.2515,                 1.6673,                0.00229,                      1,                0.04536,                0.02366,                0.82177,                 3.7296,                 1.2783,               0.093697,             0.00069653,             0.00069653
                      2,                 1.3798,                 2.9191,                 1.5004,                0.00229,                      1,                0.02834,                0.01908,                 1.1321,                 4.0364,                 1.4121,               0.090089,              0.0010891,              0.0010891
                      3,                 1.1935,                 3.0499,                 1.4366,                0.00229,                      1,                0.03194,                0.01909,                0.71582,                 3.7414,                  1.137,               0.086478,              0.0014777,              0.0014777
                      4,                  1.158,                 2.8537,                 1.4728,                0.00229,                      1,                0.06128,                0.02999,                0.81996,                 3.7855,                 1.1821,               0.082862,              0.0018624,              0.0018624
                      5,                 1.0299,                 2.8672,                 1.3134,                0.00229,                      1,                0.17094,                0.13633,                 1.0445,                 3.9698,                 1.3418,               0.079243,              0.0022431,              0.0022431
                      6,                 1.0228,                 2.8111,                 1.3575,                0.00229,                      1,                0.05181,                0.03209,                 1.0516,                 3.8251,                 1.3621,                0.07562,              0.0026198,              0.0026198
                      7,                0.98598,                 2.6348,                 1.3549,                0.00229,                      1,                0.04691,                0.02745,                0.99326,                 3.8546,                 1.3546,               0.071993,              0.0029926,              0.0029926
                      8,                 1.1337,                 2.5915,                 1.4278,                0.00229,                      1,                0.07627,                0.04976,                0.79286,                 3.6714,                 1.3036,               0.068361,              0.0033614,              0.0033614
                      9,                0.92767,                 2.2903,                 1.2674,                0.00229,                      1,                0.09494,                0.05979,                0.92116,                 3.7332,                 1.2601,               0.064726,              0.0037263,              0.0037263
                     10,                0.93327,                 2.1717,                 1.2632,                0.00229,                      1,                0.23311,                0.19564,                  1.012,                 3.6065,                 1.4798,               0.061087,              0.0040871,              0.0040871
